age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
17,0.5749,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,2,0,male,1,2,none,3,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,26.008,1772705926384,p2_trial_19,9797850R.png,32.png,9797850R.png,1772705900376,0-3L7D9
17,0.9948,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,1,male,1,3,none,5,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,102.397,1772705105712,p2_trial_2,9113018R.png,2.png,9113018R.png,1772705003315,0-3L7D9
17,0.3771,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,nincsen,0,55.388,1772705982128,p2_trial_20,9872350R.png,30.png,9872350R.png,1772705926740,0-3L7D9
17,0.3014,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,21.706,1772706004184,p2_trial_21,9299531R.png,36.png,9299531R.png,1772705982478,0-3L7D9
17,0.4633,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,28.327,1772706032880,p2_trial_22,9140556L.png,7.png,9140556L.png,1772706004553,0-3L7D9
17,0.1918,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,1,2,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,24.737,1772706057952,p2_trial_23,9788301L.png,33.png,9788301L.png,1772706033215,0-3L7D9
17,0.5532,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,4,0,male,0,0,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,nincsen,0,20.654,1772706078968,p2_trial_24,9043461L.png,34.png,9043461L.png,1772706058314,0-3L7D9
17,0.9095,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,1,2,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,bizonytalan,0,38.061,1772706117360,p2_trial_25,9534110L.png,49.png,9534110L.png,1772706079299,0-3L7D9
17,0.8107,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,22.56,1772706140280,p2_trial_26,9870268R.png,26.png,9870268R.png,1772706117720,0-3L7D9
17,0.1582,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,1,2,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,bizonytalan,0,43.01,1772706183640,p2_trial_27,9466142R.png,5.png,9466142R.png,1772706140630,0-3L7D9
